time,state,car_sales
2014-01-01,VIC,21 289
2014-01-01,QLD,16 660
2014-01-01,SA,5 082
2014-01-01,WA,8 707
2014-01-01,TAS,1 280
2014-01-01,NT,713
2014-01-01,ACT,1 474
2014-02-01,NSW,27 585
2014-02-01,VIC,23 411
2014-02-01,QLD,17 367
2014-02-01,SA,5 567
2014-02-01,WA,9 427
2014-02-01,TAS,1 263
2014-02-01,NT,791
2014-02-01,ACT,1 407
2014-03-01,NSW,30 656
2014-03-01,VIC,26 311
2014-03-01,QLD,20 073
2014-03-01,SA,6 184
2014-03-01,WA,10 117
2014-03-01,TAS,1 457
2014-03-01,NT,998
2014-03-01,ACT,1 471
2014-04-01,NSW,25 625
2014-04-01,VIC,21 108
2014-04-01,QLD,17 041
2014-04-01,SA,4 897
2014-04-01,WA,8 604
2014-04-01,TAS,1 182
2014-04-01,NT,1 070
2014-04-01,ACT,1 183
2014-05-01,NSW,29 788
2014-05-01,VIC,26 042
2014-05-01,QLD,19 252
2014-05-01,SA,5 764
2014-05-01,WA,9 920
2014-05-01,TAS,1 409
2014-05-01,NT,978
2014-05-01,ACT,1 409
2014-06-01,NSW,37 575
2014-06-01,VIC,31 327
2014-06-01,QLD,24 643
2014-06-01,SA,7 531
2014-06-01,WA,12 440
2014-06-01,TAS,1 743
2014-06-01,NT,1 258
2014-06-01,ACT,1 792
2014-07-01,NSW,28 587
2014-07-01,VIC,24 756
2014-07-01,QLD,17 767
2014-07-01,SA,5 514
2014-07-01,WA,9 556
2014-07-01,TAS,1 302
2014-07-01,NT,913
2014-07-01,ACT,1 472
2014-08-01,NSW,28 404
2014-08-01,VIC,24 184
2014-08-01,QLD,17 169
2014-08-01,SA,5 618
2014-08-01,WA,9 137
2014-08-01,TAS,1 418
2014-08-01,NT,807
2014-08-01,ACT,1 420
2014-09-01,NSW,30 388
2014-09-01,VIC,25 670
2014-09-01,QLD,18 890
2014-09-01,SA,6 099
2014-09-01,WA,9 882
2014-09-01,TAS,1 734
2014-09-01,NT,904
2014-09-01,ACT,1 411
2014-10-01,NSW,29 839
2014-10-01,VIC,25 559
2014-10-01,QLD,16 990
2014-10-01,SA,5 628
2014-10-01,WA,9 534
2014-10-01,TAS,1 488
2014-10-01,NT,826
2014-10-01,ACT,1 372
2014-11-01,NSW,30 419
2014-11-01,VIC,26 282
2014-11-01,QLD,16 814
2014-11-01,SA,5 888
2014-11-01,WA,8 876
2014-11-01,TAS,1 650
2014-11-01,NT,841
2014-11-01,ACT,1 462
2014-12-01,NSW,30 257
2014-12-01,VIC,26 783
2014-12-01,QLD,20 853
2014-12-01,SA,5 830
2014-12-01,WA,9 143
2014-12-01,TAS,1 645
2014-12-01,NT,894
2014-12-01,ACT,1 404
2015-01-01,NSW,26 796
2015-01-01,VIC,22 211
2015-01-01,QLD,16 570
2015-01-01,SA,5 039
2015-01-01,WA,8 101
2015-01-01,TAS,1 364
2015-01-01,NT,662
2015-01-01,ACT,1 373
2015-02-01,NSW,28 975
2015-02-01,VIC,24 742
2015-02-01,QLD,18 212
2015-02-01,SA,5 915
2015-02-01,WA,8 851
2015-02-01,TAS,1 409
2015-02-01,NT,877
2015-02-01,ACT,1 443
2015-03-01,NSW,33 773
2015-03-01,VIC,28 536
2015-03-01,QLD,22 499
2015-03-01,SA,6 173
2015-03-01,WA,9 823
2015-03-01,TAS,1 560
2015-03-01,NT,1 064
2015-03-01,ACT,1 626
2015-04-01,NSW,26 264
2015-04-01,VIC,22 160
2015-04-01,QLD,17 335
2015-04-01,SA,4 843
2015-04-01,WA,7 609
2015-04-01,TAS,1 280
2015-04-01,NT,948
2015-04-01,ACT,1 217
