date,count
4/04/2020,13
5/04/2020,19
6/04/2020,12
7/04/2020,20
8/04/2020,20
9/04/2020,27
10/04/2020,19
11/04/2020,14
12/04/2020,9
13/04/2020,7
14/04/2020,10
15/04/2020,14
16/04/2020,13
17/04/2020,7
18/04/2020,11
19/04/2020,19
20/04/2020,9
21/04/2020,20
22/04/2020,22
23/04/2020,25
24/04/2020,28
25/04/2020,15
26/04/2020,9
27/04/2020,20
28/04/2020,24
29/04/2020,17
30/04/2020,24
1/05/2020,23
2/05/2020,21
3/05/2020,19
4/05/2020,17
5/05/2020,24
6/05/2020,23
7/05/2020,16
8/05/2020,22
9/05/2020,22
10/05/2020,19
11/05/2020,18
12/05/2020,16
13/05/2020,24
14/05/2020,26
15/05/2020,31
16/05/2020,40
17/05/2020,24
18/05/2020,23
19/05/2020,15
20/05/2020,37
21/05/2020,25
22/05/2020,20
23/05/2020,27
24/05/2020,26
25/05/2020,30
26/05/2020,27
27/05/2020,28
28/05/2020,27
29/05/2020,34
30/05/2020,49
31/05/2020,24
1/06/2020,29
2/06/2020,15
3/06/2020,27
4/06/2020,42
5/06/2020,37
6/06/2020,30
7/06/2020,26
8/06/2020,23
9/06/2020,35
10/06/2020,35
11/06/2020,33
12/06/2020,23
13/06/2020,12
14/06/2020,3
15/06/2020,8
16/06/2020,5
17/06/2020,1
18/06/2020,8
19/06/2020,11
20/06/2020,10
21/06/2020,4
22/06/2020,6
23/06/2020,11
24/06/2020,3
25/06/2020,8
26/06/2020,8
27/06/2020,8
28/06/2020,9
29/06/2020,6
30/06/2020,3
1/07/2020,38
2/07/2020,25
3/07/2020,47
4/07/2020,26
5/07/2020,19
6/07/2020,26
7/07/2020,29
8/07/2020,31
9/07/2020,17
10/07/2020,19
11/07/2020,26
12/07/2020,14
13/07/2020,4
14/07/2020,6
15/07/2020,4
16/07/2020,8
17/07/2020,4
18/07/2020,4
19/07/2020,6
20/07/2020,7
21/07/2020,8
22/07/2020,9
23/07/2020,5
24/07/2020,6
25/07/2020,10
26/07/2020,3
27/07/2020,5
28/07/2020,4
29/07/2020,4
30/07/2020,8
31/07/2020,7
1/08/2020,28
2/08/2020,9
3/08/2020,10
4/08/2020,18
5/08/2020,10
6/08/2020,11
7/08/2020,14
8/08/2020,7
9/08/2020,5
10/08/2020,20
11/08/2020,11
12/08/2020,13
13/08/2020,11
14/08/2020,8
15/08/2020,6
16/08/2020,8
17/08/2020,12
18/08/2020,8
19/08/2020,9
20/08/2020,5
21/08/2020,10
22/08/2020,9
23/08/2020,4
24/08/2020,11
25/08/2020,7
26/08/2020,14
27/08/2020,14
28/08/2020,18
29/08/2020,12
30/08/2020,5
31/08/2020,8
1/09/2020,12
2/09/2020,6
3/09/2020,6
4/09/2020,7
5/09/2020,9
6/09/2020,1
7/09/2020,3
8/09/2020,2
9/09/2020,7
10/09/2020,4
11/09/2020,5
12/09/2020,8
13/09/2020,3
14/09/2020,7
15/09/2020,6
16/09/2020,1
17/09/2020,7
18/09/2020,7
19/09/2020,2
20/09/2020,11
21/09/2020,2
22/09/2020,8
23/09/2020,0
24/09/2020,5
25/09/2020,5
26/09/2020,4
27/09/2020,2
28/09/2020,3
29/09/2020,7
30/09/2020,4
31/09/2020,0
1/10/2020,7
2/10/2020,4
3/10/2020,2
4/10/2020,1
5/10/2020,4
6/10/2020,2
7/10/2020,1
8/10/2020,4
9/10/2020,3
10/10/2020,2
11/10/2020,4
12/10/2020,3
13/10/2020,2
14/10/2020,4
15/10/2020,4
16/10/2020,6
17/10/2020,4
18/10/2020,2
19/10/2020,6
20/10/2020,4
21/10/2020,2
22/10/2020,4
23/10/2020,0
24/10/2020,0
25/10/2020,2
26/10/2020,2
27/10/2020,3
28/10/2020,3
30/10/2020,3
31/10/2020,1
1/11/2020,4
4/11/2020,1
