date,count
2020-09-05,9
2020-09-06,1
2020-09-07,3
2020-09-08,2
2020-09-09,7
2020-09-10,4
2020-09-11,5
2020-09-12,8
2020-09-13,3
2020-09-14,7
2020-09-15,6
2020-09-16,1
2020-09-17,7
2020-09-18,7
2020-09-19,2
2020-09-20,11
2020-09-21,2
2020-09-22,8
2020-09-23,0
2020-09-24,5
2020-09-25,5
2020-09-26,4
2020-09-27,2
2020-09-28,3
2020-09-29,7
2020-09-30,4
2020-10-01,7
2020-10-02,4
2020-10-03,2
2020-10-04,1
2020-10-05,4
2020-10-06,2
2020-10-07,1
2020-10-08,4
2020-10-09,3
2020-10-10,2
2020-10-11,4
2020-10-12,3
2020-10-13,2
2020-10-14,4
2020-10-15,4
2020-10-16,6
2020-10-17,4
2020-10-18,2
2020-10-19,6
2020-10-20,4
2020-10-21,2
2020-10-22,4
2020-10-23,0
2020-10-24,0
2020-10-25,2
2020-10-26,2
2020-10-27,3
2020-10-28,3
2020-10-29,0
2020-10-30,3
2020-10-31,1
2020-11-01,4
2020-11-04,1
